n_hidden1,lr,epochs,report_every,avg_loss,avg_f1,model
16,0.005,1000,500,0.1840860515832901,0.9932604432106018,full_model
16,0.005,1500,500,0.1838162213563919,0.9885234594345093,full_model
16,0.01,1000,500,0.1837317764759063,0.9940412640571594,full_model
16,0.01,1500,500,0.1835711002349853,0.9861526250839232,full_model
16,0.05,1000,500,0.1840906381607055,0.9883588790893556,full_model
16,0.05,1500,500,0.1838253617286682,0.9846223831176758,full_model
24,0.005,1000,500,0.1837527632713317,0.9908869624137878,full_model
24,0.005,1500,500,0.1835229754447937,0.9861391425132752,full_model
24,0.01,1000,500,0.1839358270168304,0.982963454723358,full_model
24,0.01,1500,500,0.183869993686676,0.9723461389541626,full_model
24,0.05,1000,500,0.1837772846221924,0.9786606907844544,full_model
24,0.05,1500,500,0.1838833779096603,0.975087559223175,full_model
32,0.005,1000,500,0.183304563164711,0.9948299169540404,full_model
32,0.005,1500,500,0.1831979125738144,0.9780212640762328,full_model
32,0.01,1000,500,0.1834367901086807,0.9787825226783752,full_model
32,0.01,1500,500,0.183388939499855,0.9705798745155334,full_model
32,0.05,1000,500,0.1835943520069122,0.978899335861206,full_model
32,0.05,1500,500,0.1837751805782318,0.9711251616477966,full_model
