n_hidden1,lr,epochs,report_every,avg_loss,avg_f1,model
16,0.005,1000,500,0.4470156133174896,0.5772719144821167,full_model
16,0.005,1500,500,0.4471500933170318,0.5817628026008606,full_model
16,0.01,1000,500,0.4471274435520172,0.58175687789917,full_model
16,0.01,1500,500,0.4472353160381317,0.5839425325393677,full_model
16,0.05,1000,500,0.4480408608913421,0.5516711473464966,full_model
16,0.05,1500,500,0.4483437657356262,0.5630759596824646,full_model
24,0.005,1000,500,0.4459690809249877,0.5747015118598938,full_model
24,0.005,1500,500,0.4464096069335937,0.5692878723144531,full_model
24,0.01,1000,500,0.4467181503772736,0.5733514308929444,full_model
24,0.01,1500,500,0.446904706954956,0.5798792481422425,full_model
24,0.05,1000,500,0.4503983199596405,0.5697245717048645,full_model
24,0.05,1500,500,0.4524881422519684,0.569826078414917,full_model
32,0.005,1000,500,0.4473212957382202,0.5817855477333069,full_model
32,0.005,1500,500,0.4475445091724396,0.5688543915748596,full_model
32,0.01,1000,500,0.4472702383995056,0.5629164218902588,full_model
32,0.01,1500,500,0.447507756948471,0.5601128339767456,full_model
32,0.05,1000,500,0.4526216208934784,0.5811980843544007,full_model
32,0.05,1500,500,0.45832703113555906,0.5573238492012024,full_model
